node,category,P,R,Acc,F1
1,Bot,0.716012084592145,0.6220472440944882,0.6944801026957638,0.6657303370786517
2,DDoS,0.9366909861143798,1.0,0.9462,0.9673107303439057
3,DoS GoldenEye,0.8808585194918966,0.992106561420819,0.9057899901864573,0.9331786542923434
4,DoS Hulk,0.9325267566309912,0.9987540493396462,0.941,0.9645048730598003
5,DoS Slowhttptest,0.7729636048526863,0.8788177339901477,0.8118279569892473,0.8224988473951129
6,DoS slowloris,0.7709867452135494,0.9703429101019463,0.8348579682233991,0.8592531801395158
7,FTP-Patator,0.8083791208791209,1.0,0.8723696248856359,0.8940372199012533
8,PortScan + Infiltration,0.9175116470265826,0.8435374149659864,0.8156,0.8789708584930428
9,SSH-Patator + Heartbleed,0.7754342431761787,0.9314456035767511,0.8243034055727554,0.8463100880162492
10,WebAttack BF + SQL + XSS,0.7627811860940695,0.9031476997578692,0.8179696616102684,0.8270509977827051
,Average,0.82741448940716,0.9140199217247655,0.8464398710163528,0.865884578650258
