node,category,P,R,Acc,F1
1,Bot,0.42857142857142855,0.015544041450777202,0.5019255455712451,0.03
2,DDoS,0.9965034965034965,0.8543592305770672,0.881,0.9199731002017485
3,DoS GoldenEye,0.9830081812460667,0.7593582887700535,0.8292443572129539,0.8568294020844761
4,DoS Hulk,0.9951854998583971,0.8813644344118384,0.902,0.9348230912476723
5,DoS Slowhttptest,0.9802371541501976,0.7265625,0.8558162267839687,0.8345485137408861
6,DoS slowloris,0.9793103448275862,0.6472196900638104,0.8064516129032258,0.7793633369923162
7,FTP-Patator,0.0,0.0,0.45105215004574567,0.0
8,PortScan + Infiltration,0.9881235154394299,0.31523111896943673,0.4548,0.47797778628877824
9,SSH-Patator + Heartbleed,0.25,0.006359300476947536,0.5069659442724458,0.012403100775193798
10,WebAttack BF + SQL + XSS,0.09090909090909091,0.002288329519450801,0.4795799299883314,0.004464285714285714
,Average,0.6691848711505693,0.42082869342393814,0.6668835766777916,0.4850382617045357
