node,category,P,R,Acc,F1
1,Bot,0.7412140575079872,0.6089238845144357,0.7047496790757382,0.6685878962536023
2,DDoS,0.9161568909679741,0.6396984924623116,0.6666,0.753365882527001
3,DoS GoldenEye,0.8855250709555346,0.9235323137641835,0.8701341184167485,0.9041294373339773
4,DoS Hulk,0.9380025940337224,0.9010715175679043,0.8728,0.9191662430096594
5,DoS Slowhttptest,0.7870722433460076,0.8157635467980295,0.7991202346041055,0.8011611030478955
6,DoS slowloris,0.7914691943127962,0.9286376274328082,0.835820895522388,0.8545842217484009
7,FTP-Patator,0.7671102661596958,0.6856414613423959,0.7186642268984447,0.7240915208613729
8,PortScan + Infiltration,0.937319695777603,0.9004787100025196,0.8732,0.9185299408892316
9,SSH-Patator + Heartbleed,0.8144736842105263,0.9225037257824144,0.8506191950464397,0.8651292802236199
10,WebAttack BF + SQL + XSS,0.7938144329896907,0.9322033898305084,0.8506417736289381,0.8574610244988864
,Average,0.8372158130261538,0.825845466949751,0.8042350123192803,0.8266206550393648
