node,category,P,R,Acc,F1
1,Bot,0.712166172106825,0.6217616580310881,0.6880616174582799,0.6639004149377593
2,DDoS,0.9281648143128219,0.8553584811391456,0.8312,0.890275611024441
3,DoS GoldenEye,0.8783783783783784,0.9795819154107924,0.8949950932286556,0.9262238565846932
4,DoS Hulk,0.9361966236345581,0.945823927765237,0.9054,0.9409856519026825
5,DoS Slowhttptest,0.7945091514143094,0.9326171875,0.8455522971652004,0.8580413297394429
6,DoS slowloris,0.8180428134556575,0.97538742023701,0.8724121328839672,0.8898128898128899
7,FTP-Patator,0.8125864453665284,0.9932375316990701,0.8723696248856359,0.893875998478509
8,PortScan + Infiltration,0.9358066878203564,0.9684263702955291,0.9224,0.951837140019861
9,SSH-Patator + Heartbleed,0.7679269882659713,0.9364069952305246,0.8312693498452013,0.8438395415472779
10,WebAttack BF + SQL + XSS,0.8062622309197651,0.9427917620137299,0.8553092182030338,0.869198312236287
,Average,0.8390040305675172,0.9151393249322128,0.8518969333669973,0.8727990746283844
