node,category,P,R,Acc,F1
1,Bot,0.7014925373134329,0.6167979002624672,0.6842105263157895,0.6564245810055865
2,DDoS,0.9312119794103884,1.0,0.9412,0.9643809062272838
3,DoS GoldenEye,0.8716948417858691,0.992106561420819,0.8979391560353287,0.928011075219197
4,DoS Hulk,0.9286376274328082,0.9987540493396462,0.9374,0.962420458638492
5,DoS Slowhttptest,0.7610921501706485,0.8788177339901477,0.803030303030303,0.81572930955647
6,DoS slowloris,0.7592458303118201,0.9703429101019463,0.8247472315840154,0.8519121236777868
7,FTP-Patator,0.7990495587236931,1.0,0.8645928636779506,0.8883018867924528
8,PortScan + Infiltration,0.923019985196151,0.9425547996976569,0.892,0.9326851159311892
9,SSH-Patator + Heartbleed,0.7659313725490197,0.9314456035767511,0.81656346749226,0.8406186953597848
10,WebAttack BF + SQL + XSS,0.7519685039370079,0.9249394673123487,0.8168028004667445,0.8295331161780674
,Average,0.8193344386830839,0.9255759025701783,0.8478486348602392,0.867001726858631
