node,category,P,R,Acc,F1
1,Bot,0.7058823529411765,0.6217616580310881,0.6842105263157895,0.6611570247933884
2,DDoS,0.9261962692619627,0.8558581064201849,0.83,0.8896390547909634
3,DoS GoldenEye,0.8764680295780775,0.9795819154107924,0.8933595027805038,0.9251606978879706
4,DoS Hulk,0.933184855233853,0.945823927765237,0.9028,0.9394618834080718
5,DoS Slowhttptest,0.7814113597246127,0.88671875,0.8191593352883676,0.8307410795974383
6,DoS slowloris,0.8162162162162162,0.9635369188696444,0.8661531054405393,0.8837792642140468
7,FTP-Patator,0.8081155433287482,0.9932375316990701,0.8687099725526075,0.8911642017444065
8,PortScan + Infiltration,0.9298245614035088,0.8969436726446072,0.8648,0.913088197480072
9,SSH-Patator + Heartbleed,0.7662337662337663,0.9379968203497615,0.8304953560371517,0.8434596140100071
10,WebAttack BF + SQL + XSS,0.8023255813953488,0.9473684210526315,0.8541423570595099,0.8688352570828961
,Average,0.8345858535317271,0.9028827722243017,0.841383015547447,0.8646486275009263
