node,category,P,R,Acc,F1
1,Bot,0.0,0.0,0.4557124518613607,0.0
2,DDoS,0.9406340057636887,0.407694229328004,0.5052,0.5688393168351342
3,DoS GoldenEye,0.9340166559897501,0.7087992221682061,0.7703631010794897,0.8059701492537313
4,DoS Hulk,0.8456591639871383,0.13192876849761725,0.2886,0.22824907789108267
5,DoS Slowhttptest,0.3508771929824561,0.05859375,0.47458455522971654,0.100418410041841
6,DoS slowloris,0.8008048289738431,0.3628076572470374,0.6157920077034184,0.4993726474278545
7,FTP-Patator,0.8571428571428571,0.5629754860524091,0.7127172918572735,0.6795918367346939
8,PortScan + Infiltration,0.9108494533221194,0.27355392775953524,0.4036,0.42074592074592077
9,SSH-Patator + Heartbleed,0.8669438669438669,0.6629570747217806,0.7863777089783281,0.7513513513513513
10,WebAttack BF + SQL + XSS,0.8981900452488688,0.9084668192219679,0.9008168028004667,0.9032992036405005
,Average,0.7405118070354588,0.40777769349965576,0.5913763919510053,0.495783791392211
