node,category,P,R,Acc,F1
1,Bot,0.7563291139240507,0.6112531969309463,0.7060333761232349,0.6760961810466761
2,DDoS,0.9338450292397661,0.6411543287327478,0.6778,0.7603035262609731
3,DoS GoldenEye,0.9085422469823584,0.9476997578692494,0.9002289826627412,0.9277079876748044
4,DoS Hulk,0.9538345105953582,0.9438342486270594,0.9184,0.9488080301129235
5,DoS Slowhttptest,0.8007774538386784,0.7907869481765835,0.7932551319648093,0.7957508450024143
6,DoS slowloris,0.8037037037037037,0.5750883392226148,0.6918632643235436,0.670442842430484
7,FTP-Patator,0.7972972972972973,0.6572407883461868,0.7278133577310155,0.7205260685767966
8,PortScan + Infiltration,0.9516295913088464,0.9115460852329038,0.8912,0.9311566691976715
9,SSH-Patator + Heartbleed,0.8432732316227461,0.9156626506024096,0.8691950464396285,0.8779783393501805
10,WebAttack BF + SQL + XSS,0.8373626373626374,0.9071428571428571,0.868144690781797,0.8708571428571429
,Average,0.8586594815875441,0.7901409200883559,0.804393385002677,0.8179627632510066
