node,category,P,R,Acc,F1
1,Bot,0.7036144578313253,0.7506426735218509,0.7175866495507061,0.7263681592039801
2,DDoS,0.9267211201866978,0.9997482376636455,0.937,0.961850551047596
3,DoS GoldenEye,0.8630600169061707,1.0,0.8940137389597644,0.926497277676951
4,DoS Hulk,0.9276300578034682,1.0,0.9374,0.9624565191315821
5,DoS Slowhttptest,0.7722918201915991,1.0,0.8489736070381232,0.8715176715176716
6,DoS slowloris,0.7770515613652869,0.9990662931839402,0.8517091959557054,0.8741830065359477
7,FTP-Patator,0.7785953177257525,1.0,0.8485818847209515,0.8755171116961263
8,PortScan + Infiltration,0.927803738317757,0.9982403217697335,0.9368,0.9617340760474691
9,SSH-Patator + Heartbleed,0.7538461538461538,0.9984326018808778,0.8382352941176471,0.8590694538098449
10,WebAttack BF + SQL + XSS,0.7627737226277372,0.95,0.822637106184364,0.8461538461538461
,Average,0.8193387966801948,0.9696130128020048,0.8632937476527263,0.8865347672821017
