node,category,P,R,Acc,F1
1,Bot,0.6666666666666666,0.005141388174807198,0.5019255455712451,0.01020408163265306
2,DDoS,0.9996613613274636,0.743202416918429,0.7958,0.8525631768953068
3,DoS GoldenEye,0.997913769123783,0.7027424094025465,0.8004579653254825,0.8247126436781609
4,DoS Hulk,0.9993990384615384,0.82901296111665,0.8624,0.906267029972752
5,DoS Slowhttptest,0.935064935064935,0.06870229007633588,0.5205278592375366,0.128
6,DoS slowloris,0.9984301412872841,0.5938375350140056,0.7900818488204141,0.7447306791569087
7,FTP-Patator,0.9936224489795918,0.6692439862542955,0.8215919487648673,0.7997946611909651
8,PortScan + Infiltration,0.9970887918486172,0.17219708396178984,0.341,0.2936763129689175
9,SSH-Patator + Heartbleed,0.6,0.004702194357366771,0.5069659442724458,0.00933125972006221
10,WebAttack BF + SQL + XSS,0.0,0.0,0.48424737456242706,0.0
,Average,0.8187847152759881,0.3788782265276226,0.6424998486554419,0.45692798452157257
