node,category,P,R,Acc,F1
1,Bot,0.6853932584269663,0.6321243523316062,0.6739409499358151,0.6576819407008087
2,DDoS,0.9341736694677871,0.9997501873594804,0.9434,0.9658501267044769
3,DoS GoldenEye,0.870362473347548,0.9922216820612543,0.8953222113182859,0.927305770104498
4,DoS Hulk,0.9358552631578947,0.99899673940306,0.9446,0.966395729710057
5,DoS Slowhttptest,0.7739430543572045,0.8759765625,0.8098729227761485,0.8218048557031608
6,DoS slowloris,0.7993680884676145,0.9225159525979946,0.836783822821377,0.8565382987727465
7,FTP-Patator,0.7986440677966101,0.9957734573119188,0.8618481244281794,0.8863807373965388
8,PortScan + Infiltration,0.920664701152506,0.8676433442788583,0.836,0.893368010403121
9,SSH-Patator + Heartbleed,0.7547892720306514,0.9395866454689984,0.8219814241486069,0.8371104815864022
10,WebAttack BF + SQL + XSS,0.8,0.9519450800915332,0.8541423570595099,0.8693834900731452
,Average,0.8273193848204782,0.9176534003404704,0.8477891812487923,0.8681819441154955
