node,category,P,R,Acc,F1
1,Bot,0.6685082872928176,0.6269430051813472,0.6611039794608472,0.6470588235294118
2,DDoS,0.9270326615705351,0.9997501873594804,0.9368,0.9620192307692308
3,DoS GoldenEye,0.8619087837837838,0.9922216820612543,0.8877984952567877,0.9224858757062147
4,DoS Hulk,0.925048828125,0.9503386004514672,0.899,0.9375231968328591
5,DoS Slowhttptest,0.7531172069825436,0.884765625,0.7971652003910068,0.8136506511001347
6,DoS slowloris,0.7919161676646707,0.9644484958979034,0.8473760231102552,0.8697081792026305
7,FTP-Patator,0.7842876165113183,0.9957734573119188,0.8494967978042086,0.8774674115456238
8,PortScan + Infiltration,0.9008419083255379,0.7297297297297297,0.7224,0.8063075634942786
9,SSH-Patator + Heartbleed,0.7357320099255583,0.9427662957074722,0.8072755417956656,0.8264808362369338
10,WebAttack BF + SQL + XSS,0.7798507462686567,0.9565217391304348,0.8401400233372228,0.8591983556012333
,Average,0.8128244216450422,0.9043258817831008,0.8248556061155995,0.8521900124018551
