node,category,P,R,Acc,F1
1,Bot,0.752906976744186,0.6658097686375322,0.72400513478819,0.7066848567530696
2,DDoS,0.9193667157584683,0.62865055387714,0.6612,0.7467105263157895
3,DoS GoldenEye,0.8895318253550762,0.8281096963761019,0.81648675171737,0.8577225462845549
4,DoS Hulk,0.9418201227648786,0.8796111665004985,0.8598,0.9096533058383812
5,DoS Slowhttptest,0.7940896091515729,0.7948473282442748,0.7893450635386119,0.7944682880305198
6,DoS slowloris,0.8198810535259133,0.9010270774976658,0.8468945594607608,0.858540925266904
7,FTP-Patator,0.7751243781094528,0.6692439862542955,0.7204940530649588,0.7183033656062702
8,PortScan + Infiltration,0.9420668058455115,0.9074912016088487,0.882,0.9244558258642765
9,SSH-Patator + Heartbleed,0.7983761840324763,0.9247648902821317,0.8475232198142415,0.8569353667392883
10,WebAttack BF + SQL + XSS,0.8038834951456311,0.9409090909090909,0.851808634772462,0.8670157068062827
,Average,0.8437047166433167,0.814046476018758,0.7999557417156595,0.8240490713505336
