node,category,P,R,Acc,F1
1,Bot,0.6692307692307692,0.6508728179551122,0.6546854942233633,0.6599241466498104
2,DDoS,0.9158402573036719,0.8523322524320279,0.8188,0.8829457364341086
3,DoS GoldenEye,0.8798283261802575,0.9789875835721108,0.8940137389597644,0.9267631103074141
4,DoS Hulk,0.9281658849666748,0.9416478837966441,0.8952,0.9348582794629537
5,DoS Slowhttptest,0.7599029911075182,0.8834586466165414,0.7942326490713587,0.8170360712733594
6,DoS slowloris,0.7673048600883653,0.9830188679245283,0.8391911410688493,0.8618693134822167
7,FTP-Patator,0.7882670262980445,0.9982920580700256,0.8554437328453797,0.8809344385832706
8,PortScan + Infiltration,0.9223697650663942,0.9066265060240963,0.8648,0.9144303797468355
9,SSH-Patator + Heartbleed,0.7364238410596027,0.9174917491749175,0.8072755417956656,0.8170462894930198
10,WebAttack BF + SQL + XSS,0.7657142857142857,0.9370629370629371,0.8249708284714119,0.8427672955974843
,Average,0.8133048007015583,0.9049791302628941,0.8248613126435792,0.8538575061030473
