node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.7916274694261524,0.8639630390143738,0.8182751540041068,0.8262150220913107,0.7916274694261524,0.8639630390143738,0.8182751540041068,0.8262150220913107,0.0,3896.0
2,DDoS,0.9828950602113541,0.99985,0.98596,0.9913000371793282,0.9828950602113541,0.99985,0.98596,0.9913000371793282,0.0,25000.0
3,DoS GoldenEye,0.9374390956928474,0.935251798561151,0.9144315059531598,0.9363441697488807,0.9374390956928474,0.935251798561151,0.9144315059531598,0.9363441697488807,0.0,15286.0
4,DoS Hulk,0.9805348014156509,0.9974,0.98208,0.9888954987110846,0.9805348014156509,0.9974,0.98208,0.9888954987110846,0.0,25000.0
5,DoS Slowhttptest,0.895728860453052,0.9908186687069626,0.9363511928040673,0.9408773045136681,0.895728860453052,0.9908186687069626,0.9363511928040673,0.9408773045136681,0.0,10228.0
6,DoS slowloris,0.7894968461199942,0.9994428969359331,0.8615310544053923,0.882150467136535,0.7894968461199942,0.9994428969359331,0.8615310544053923,0.882150467136535,0.0,10385.0
7,FTP-Patator,0.9216388845614581,0.9974709155285787,0.9526118378922331,0.9580566801619433,0.9216388845614581,0.9974709155285787,0.9526118378922331,0.9580566801619433,0.0,10931.0
8,PortScan + Infiltration,0.9566634707574305,0.9978,0.96208,0.976798825256975,0.9566634707574305,0.9978,0.96208,0.976798825256975,0.0,25000.0
9,SSH-Patator + Heartbleed,0.822986146741919,0.993188854489164,0.8897832817337461,0.9001122334455668,0.822986146741919,0.993188854489164,0.8897832817337461,0.9001122334455668,0.0,6460.0
10,WebAttack BF + SQL + XSS,0.8762975778546713,0.9454036397573495,0.9059729351376575,0.9095398428731762,0.8762975778546713,0.9454036397573495,0.9059729351376575,0.9095398428731762,0.0,4286.0
,Average,0.8955308213234531,0.9720589812993513,0.9209076961930365,0.9310290081118469,0.8955308213234531,0.9720589812993513,0.9209076961930365,0.9310290081118469,0.0,13647.2
