node,category,P,R,Acc,F1
1,Bot,0.7160493827160493,0.6089238845144357,0.6906290115532734,0.6581560283687943
2,DDoS,0.8783653846153846,0.45904522613065324,0.5188,0.602970297029703
3,DoS GoldenEye,0.8412240184757506,0.7187962506166748,0.7235852142623487,0.7752061718542166
4,DoS Hulk,0.5536912751677853,0.0822327435833541,0.2102,0.1431980906921241
5,DoS Slowhttptest,0.7645429362880887,0.8157635467980295,0.7839687194525904,0.7893231649189705
6,DoS slowloris,0.7283834586466166,0.7182576459684893,0.7144920558497834,0.7232851143257116
7,FTP-Patator,0.7430939226519337,0.6856414613423959,0.7031107044830741,0.7132125497127707
8,PortScan + Infiltration,0.9373374320170254,0.998740236835475,0.946,0.9670651378384972
9,SSH-Patator + Heartbleed,0.7987096774193548,0.9225037257824144,0.8390092879256966,0.8561549100968188
10,WebAttack BF + SQL + XSS,0.7715430861723447,0.9322033898305084,0.8343057176196033,0.8442982456140351
,Average,0.7732940574170334,0.6942108111402431,0.696410071114637,0.7072869710451641
