node,category,P,R,Acc,F1
1,Bot,0.6951566951566952,0.6288659793814433,0.6777920410783055,0.6603518267929634
2,DDoS,0.9347215722976134,1.0,0.9442,0.9662595235215866
3,DoS GoldenEye,0.8934707903780069,0.9952153110047847,0.915603532875368,0.9416025350837482
4,DoS Hulk,0.9336580839712364,0.9992552135054618,0.9422,0.9653435663748651
5,DoS Slowhttptest,0.7746478873239436,0.8904761904761904,0.8108504398826979,0.8285334514842712
6,DoS slowloris,0.7886792452830189,0.9702878365831012,0.8497833413577275,0.8701082431307244
7,FTP-Patator,0.8203230148048453,0.9983619983619983,0.8769441903019213,0.9006280014776505
8,PortScan + Infiltration,0.9292196007259528,0.8953285036222833,0.8616,0.9119592875318067
9,SSH-Patator + Heartbleed,0.789937106918239,0.9317507418397626,0.8351393188854489,0.85500340367597
10,WebAttack BF + SQL + XSS,0.7747368421052632,0.9019607843137255,0.8284714119019837,0.8335220838052095
,Average,0.8334550838964814,0.9211502559088751,0.8542584276283453,0.8733311922878796
