node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.7494172494172494,0.9902464065708418,0.8295687885010267,0.8531623175586024,0.7494172494172494,0.9902464065708418,0.8295687885010267,0.8531623175586024,0.0,3896.0
2,DDoS,0.9834267728926921,0.99985,0.9864,0.9915703872663262,0.9834267728926921,0.99985,0.9864,0.9915703872663262,0.0,25000.0
3,DoS GoldenEye,0.9202638471238723,0.9223216021777173,0.8939552531728379,0.9212915756251517,0.9202638471238723,0.9223216021777173,0.8939552531728379,0.9212915756251517,0.0,15286.0
4,DoS Hulk,0.9929451405707065,0.943,0.94904,0.9673283069190132,0.9929451405707065,0.943,0.94904,0.9673283069190132,0.0,25000.0
5,DoS Slowhttptest,0.955972278842234,0.8970925784238715,0.9262807978099336,0.9255970001973555,0.955972278842234,0.8970925784238715,0.9262807978099336,0.9255970001973555,0.0,10228.0
6,DoS slowloris,0.8057620817843866,0.966016713091922,0.8616273471352913,0.8786420065872815,0.8057620817843866,0.966016713091922,0.8616273471352913,0.8786420065872815,0.0,10385.0
7,FTP-Patator,0.9193473193473194,0.9974709155285787,0.9511481108773214,0.9568170790878214,0.9193473193473194,0.9974709155285787,0.9511481108773214,0.9568170790878214,0.0,10931.0
8,PortScan + Infiltration,0.9521832498210451,0.99765,0.95804,0.974386521792211,0.9521832498210451,0.99765,0.95804,0.974386521792211,0.0,25000.0
9,SSH-Patator + Heartbleed,0.894442893046635,0.991640866873065,0.9373065015479877,0.9405373660255469,0.894442893046635,0.991640866873065,0.9373065015479877,0.9405373660255469,0.0,6460.0
10,WebAttack BF + SQL + XSS,0.8493089612126616,0.8889407372841811,0.8656089594027064,0.8686730506155951,0.8493089612126616,0.8889407372841811,0.8656089594027064,0.8686730506155951,0.0,4286.0
,Average,0.9023069794058802,0.9594229819950175,0.9158975758447105,0.9278005611674904,0.9023069794058802,0.9594229819950175,0.9158975758447105,0.9278005611674904,0.0,13647.2
