node,category,P,R,Acc,F1
1,Bot,0.655860349127182,0.655860349127182,0.6456996148908858,0.655860349127182
2,DDoS,0.9275798241554836,1.0,0.9374,0.9624294802544713
3,DoS GoldenEye,0.8853016142735769,0.9952244508118434,0.9084069349035002,0.9370503597122302
4,DoS Hulk,0.9301025163094129,0.9997495617330328,0.9398,0.963669281834641
5,DoS Slowhttptest,0.7823343848580442,0.9323308270676691,0.8299120234604106,0.8507718696397941
6,DoS slowloris,0.7735708982925018,0.9830188679245283,0.8444872412132884,0.8658080598255089
7,FTP-Patator,0.7872053872053872,0.9982920580700256,0.8545288197621226,0.8802710843373494
8,PortScan + Infiltration,0.9190721649484536,0.8950803212851406,0.8536,0.9069175991861648
9,SSH-Patator + Heartbleed,0.7348284960422163,0.9191419141914191,0.8065015479876161,0.8167155425219942
10,WebAttack BF + SQL + XSS,0.7844660194174757,0.9417249417249417,0.8413068844807468,0.8559322033898306
,Average,0.8180321654629733,0.9320423291935784,0.8461643066698571,0.8695425829829165
