node,category,P,R,Acc,F1
1,Bot,0.7096774193548387,0.6126582278481013,0.6765083440308087,0.657608695652174
2,DDoS,0.9282584884994524,0.8460194659346144,0.8242,0.8852330591461026
3,DoS GoldenEye,0.8925359712230215,0.9783144406111385,0.9074255806346091,0.9334587350105807
4,DoS Hulk,0.9315203955500618,0.9479245283018868,0.9032,0.9396508728179551
5,DoS Slowhttptest,0.7788778877887789,0.8814192343604108,0.8069403714565004,0.826982041173894
6,DoS slowloris,0.7849802371541502,0.9466158245948523,0.8420799229658161,0.8582541054451167
7,FTP-Patator,0.821647379169503,0.9991721854304636,0.8796889295516926,0.9017556966753829
8,PortScan + Infiltration,0.9345556404379933,0.9181886414811108,0.8832,0.9262998485613326
9,SSH-Patator + Heartbleed,0.7579787234042553,0.9062003179650239,0.8134674922600619,0.8254887762490949
10,WebAttack BF + SQL + XSS,0.808300395256917,0.9191011235955057,0.8448074679113186,0.8601472134595163
,Average,0.8348332537838971,0.8955613990123107,0.8381518108810807,0.861487904419115
