node,category,P,R,Acc,F1
1,Bot,0.03571428571428571,0.002531645569620253,0.4595635430038511,0.004728132387706856
2,DDoS,0.9714285714285714,0.44122785126029446,0.5418,0.6068302728676849
3,DoS GoldenEye,0.9639865996649917,0.5672745194677181,0.6987242394504416,0.7142413900093081
4,DoS Hulk,0.9873417721518988,0.8437735849056603,0.8672,0.9099294628323386
5,DoS Slowhttptest,0.936562860438293,0.7581699346405228,0.8465298142717498,0.8379772961816305
6,DoS slowloris,0.9316770186335404,0.5719733079122974,0.7626384207992296,0.7088009450679268
7,FTP-Patator,0.0,0.0,0.42909423604757546,0.0
8,PortScan + Infiltration,0.16981132075471697,0.002251688766574931,0.1936,0.0044444444444444444
9,SSH-Patator + Heartbleed,0.0,0.0,0.4914860681114551,0.0
10,WebAttack BF + SQL + XSS,0.0,0.0,0.4574095682613769,0.0
,Average,0.49965224287862975,0.3187202532522688,0.5748045889945679,0.37869519437910404
