node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.994372250076742,0.9718,0.97304,0.982956556921054,0.994372250076742,0.9718,0.97304,0.982956556921054,0.0,25000.0
2,DDoS-HOIC,0.9945795414988313,1.0,0.99564,0.9972824054451619,0.9945795414988313,1.0,0.99564,0.9972824054451619,0.0,25000.0
3,DoS GoldenEye,0.9845256340534928,0.9957,0.98404,0.990081288686703,0.9845256340534928,0.9957,0.98404,0.990081288686703,0.0,25000.0
4,DoS Hulk,0.9870693909781858,1.0,0.98952,0.9934926233172718,0.9870693909781858,1.0,0.98952,0.9934926233172718,0.0,25000.0
5,DoS SlowHTTPTest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,104.0
6,DoS Slowloris,0.9662694405170673,0.9656842955187727,0.9547893748323047,0.9659767794043412,0.9662694405170673,0.9656842955187727,0.9547893748323047,0.9659767794043412,0.0,14908.0
7,FTP-BruteForce,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,96.0
8,DDoS-LOIC-HTTP + Infiltration,0.9108926975875233,0.5607,0.60468,0.694128934418619,0.9108926975875233,0.5607,0.60468,0.694128934418619,0.0,25000.0
9,SSH-BruteForce + LOIC-UDP,0.9946153462631501,0.99745,0.99364,0.9960306563147515,0.9946153462631501,0.99745,0.99364,0.9960306563147515,0.0,25000.0
10,WebBF + XSS + SQLi,0.8267182962245886,0.9660633484162896,0.8817873303167421,0.8909754825247783,0.8267182962245886,0.9660633484162896,0.8817873303167421,0.8909754825247783,0.0,1768.0
,Average,0.9659042597199582,0.9457397643935062,0.9377136705149047,0.951092472703268,0.9659042597199582,0.9457397643935062,0.9377136705149047,0.951092472703268,0.0,16687.6
