node,category,P,R,Acc,F1
1,Bot,0.9838709677419355,0.9379960317460317,0.9376,0.9603859827323514
2,DDoS-HOIC,0.9840998043052838,1.0,0.987,0.9919861915916657
3,DoS GoldenEye,0.9842559674961909,0.9787878787878788,0.9708,0.9815143074195999
4,DoS Hulk,0.9877561219390305,0.99321608040201,0.9848,0.990478576797795
5,DoS SlowHTTPTest,1.0,1.0,1.0,1.0
6,DoS Slowloris,0.975609756097561,0.9775561097256857,0.9684775318578136,0.9765819631290483
7,FTP-BruteForce,0.8461538461538461,1.0,0.8947368421052632,0.9166666666666666
8,DDoS-LOIC-HTTP + Infiltration,0.9685534591194969,0.4561836583559615,0.5474,0.6202382950159423
9,SSH-BruteForce + LOIC-UDP,0.9837581209395302,0.9934393136512742,0.9818,0.9885750156936598
10,WebBF + XSS + SQLi,0.9259259259259259,0.5434782608695652,0.7401129943502824,0.684931506849315
,Average,0.9639983969718801,0.8880657333538406,0.9012727368313358,0.9111358505896044
