node,category,P,R,Acc,F1
1,Bot,0.7756410256410257,0.6126582278481013,0.7137355584082157,0.6845827439886846
2,DDoS,0.9354958985831469,0.6261542300973296,0.6658,0.7501868739721932
3,DoS GoldenEye,0.9194194194194194,0.905372104484968,0.8845273143604842,0.9123416935684132
4,DoS Hulk,0.949003984063745,0.8988679245283019,0.8812,0.9232558139534883
5,DoS Slowhttptest,0.8104508196721312,0.738562091503268,0.7727272727272727,0.7728382999511481
6,DoS slowloris,0.8318345323741008,0.8817921830314586,0.8502648050072219,0.8560851457658492
7,FTP-Patator,0.8189134808853119,0.6738410596026491,0.737419945105215,0.7393278837420527
8,PortScan + Infiltration,0.9507470946319867,0.8596447335501626,0.8522,0.9029036920247011
9,SSH-Patator + Heartbleed,0.8262773722627738,0.8998410174880763,0.8591331269349846,0.8614916286149162
10,WebAttack BF + SQL + XSS,0.21839080459770116,0.04269662921348315,0.4235705950991832,0.07142857142857142
,Average,0.8036174432131341,0.7139430201347798,0.7640578617642577,0.7474442347010017
