node,category,P,R,Acc,F1
1,Bot,0.7384615384615385,0.6217616580310881,0.7034659820282413,0.6751054852320675
2,DDoS,0.9159049360146252,0.6257806645016237,0.6544,0.7435440783615316
3,DoS GoldenEye,0.8774703557312253,0.8633932912007778,0.8269545305855414,0.8703749081107571
4,DoS Hulk,0.9446392785571143,0.945823927765237,0.9126,0.9452312319839579
5,DoS Slowhttptest,0.8047229791099001,0.865234375,0.8274682306940372,0.8338823529411765
6,DoS slowloris,0.8273092369477911,0.9389243391066545,0.8642272508425614,0.8795900939368061
7,FTP-Patator,0.7792836398838335,0.6804733727810651,0.7227813357731016,0.7265342960288809
8,PortScan + Infiltration,0.945480631276901,0.9987370548118212,0.9534,0.9713794374155509
9,SSH-Patator + Heartbleed,0.790257104194858,0.9284578696343402,0.8452012383900929,0.8538011695906432
10,WebAttack BF + SQL + XSS,0.8289738430583501,0.9427917620137299,0.8716452742123687,0.8822269807280514
,Average,0.8452503543236137,0.8411378314846336,0.8182143842525944,0.8381670034329423
