node,category,P,R,Acc,F1
1,Bot,0.7938461538461539,0.6632390745501285,0.7458279845956355,0.7226890756302521
2,DDoS,0.9534238979761575,0.8658106747230614,0.8598,0.9075075867528698
3,DoS GoldenEye,0.9204864359214219,0.9637610186092067,0.920183186130193,0.9416267942583733
4,DoS Hulk,0.9556288032454361,0.939431704885344,0.9164,0.9474610356963298
5,DoS Slowhttptest,0.8151709401709402,0.7280534351145038,0.7761485826001955,0.7691532258064516
6,DoS slowloris,0.7100175746924429,0.3772175536881419,0.5994222436206067,0.4926829268292683
7,FTP-Patator,0.8064182194616977,0.6692439862542955,0.7383348581884721,0.7314553990610329
8,PortScan + Infiltration,0.9456316781898177,0.7564102564102564,0.7716,0.8405027932960893
9,SSH-Patator + Heartbleed,0.7081218274111675,0.4373040752351097,0.6331269349845201,0.5406976744186046
10,WebAttack BF + SQL + XSS,0.17204301075268819,0.03636363636363636,0.41540256709451573,0.0600375234521576
,Average,0.7780788541667922,0.6436835415833684,0.7376246357214138,0.6953814035201429
