node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.7418985894014487,0.9989733059548255,0.8257186858316222,0.8514548238897397,0.7418985894014487,0.9989733059548255,0.8257186858316222,0.8514548238897397,0.0,3896.0
2,DDoS,0.9801999607920016,1.0,0.98384,0.99000099000099,0.9801999607920016,1.0,0.98384,0.99000099000099,0.0,25000.0
3,DoS GoldenEye,0.9657902750989747,0.9249465292630761,0.9274499542064635,0.9449272483488107,0.9657902750989747,0.9249465292630761,0.9274499542064635,0.9449272483488107,0.0,15286.0
4,DoS Hulk,0.9942096120440069,0.94435,0.95108,0.9686386132266585,0.9942096120440069,0.94435,0.95108,0.9686386132266585,0.0,25000.0
5,DoS Slowhttptest,0.9036985345429169,0.9908186687069626,0.9413375048885413,0.9452554744525548,0.9036985345429169,0.9908186687069626,0.9413375048885413,0.9452554744525548,0.0,10228.0
6,DoS slowloris,0.7827868852459017,0.9576601671309192,0.8402503610977371,0.86143823603107,0.7827868852459017,0.9576601671309192,0.8402503610977371,0.86143823603107,0.0,10385.0
7,FTP-Patator,0.8657894736842106,0.9984825493171472,0.9151953160735523,0.9274136715997181,0.8657894736842106,0.9984825493171472,0.9151953160735523,0.9274136715997181,0.0,10931.0
8,PortScan + Infiltration,0.9539457787657663,0.987,0.95148,0.9701914334160666,0.9539457787657663,0.987,0.95148,0.9701914334160666,0.0,25000.0
9,SSH-Patator + Heartbleed,0.8515480285789891,0.9962848297213622,0.9113003095975232,0.9182479668997003,0.8515480285789891,0.9962848297213622,0.9113003095975232,0.9182479668997003,0.0,6460.0
10,WebAttack BF + SQL + XSS,0.8816362053959965,0.9454036397573495,0.909239384041064,0.9124071155145238,0.8816362053959965,0.9454036397573495,0.909239384041064,0.9124071155145238,0.0,4286.0
,Average,0.8921503343550213,0.9743919689851642,0.9156891515736503,0.9289975573379833,0.8921503343550213,0.9743919689851642,0.9156891515736503,0.9289975573379833,0.0,13647.2
