node,category,P,R,Acc,F1
1,Bot,0.6602209944751382,0.6112531969309463,0.6469833119383825,0.6347941567065073
2,DDoS,0.9263133426313342,1.0,0.9366,0.9617473150717992
3,DoS GoldenEye,0.8703389830508474,0.9946731234866828,0.8963035655871769,0.9283615819209039
4,DoS Hulk,0.9320297951582868,0.9995007488766849,0.9412,0.9645868465430016
5,DoS Slowhttptest,0.7509520182787509,0.946257197696737,0.8128054740957967,0.8373673036093419
6,DoS slowloris,0.8060781476121563,0.9840989399293286,0.8623013962445836,0.8862370723945903
7,FTP-Patator,0.7788911155644622,0.9991431019708654,0.848124428179323,0.8753753753753754
8,PortScan + Infiltration,0.9275695562198206,0.9995044598612488,0.9366,0.9621943947525343
9,SSH-Patator + Heartbleed,0.7710691823899372,0.9231927710843374,0.8196594427244582,0.840301576422207
10,WebAttack BF + SQL + XSS,0.7560975609756098,0.9595238095238096,0.8284714119019837,0.8457502623294858
,Average,0.8179560696356344,0.941714734936064,0.8529049030671706,0.8736715885125748
