node,category,P,R,Acc,F1
1,Bot,0.6958105646630237,0.9896373056994818,0.7804878048780488,0.8171122994652407
2,DDoS,0.8502932045532943,0.6157881588808394,0.6056,0.7142857142857143
3,DoS GoldenEye,0.7708225556130367,0.7243558580456976,0.6696107294733399,0.7468671679197995
4,DoS Hulk,0.8926695021265949,0.8949084524705292,0.8304,0.8937875751503006
5,DoS Slowhttptest,0.7024054982817869,0.998046875,0.7873900293255132,0.8245260185558693
6,DoS slowloris,0.7245033112582782,0.9972652689152234,0.79826673086182,0.8392788645953203
7,FTP-Patator,0.7239263803680982,0.9974640743871513,0.792772186642269,0.8389619623178102
8,PortScan + Infiltration,0.8985573620334326,0.9911593836827481,0.9044,0.9425894787412923
9,SSH-Patator + Heartbleed,0.6756756756756757,0.9936406995230525,0.7647058823529411,0.8043758043758044
10,WebAttack BF + SQL + XSS,0.7017828200972447,0.9908466819221968,0.780630105017503,0.8216318785578748
,Average,0.7636446874670465,0.9193112758526919,0.7714263468551434,0.8243416763965026
