node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.5551272166538165,0.36960985626283366,0.5367043121149897,0.4437596302003082,0.5551272166538165,0.36960985626283366,0.5367043121149897,0.4437596302003082,0.0,3896.0
2,DDoS,0.8739117956567493,0.45675,0.51268,0.5999408925229042,0.8739117956567493,0.45675,0.51268,0.5999408925229042,0.0,25000.0
3,DoS GoldenEye,0.8487152897799286,0.7161189966945363,0.7230799424309826,0.7767993672554706,0.8487152897799286,0.7161189966945363,0.7230799424309826,0.7767993672554706,0.0,15286.0
4,DoS Hulk,0.9888261371227303,0.81415,0.84396,0.8930265719691776,0.9888261371227303,0.81415,0.84396,0.8930265719691776,0.0,25000.0
5,DoS Slowhttptest,0.8600257621296694,0.7662586074980873,0.8167774736018772,0.8104390046530447,0.8600257621296694,0.7662586074980873,0.8167774736018772,0.8104390046530447,0.0,10228.0
6,DoS slowloris,0.8755439512619669,0.5604456824512535,0.7307655272026962,0.6834239130434783,0.8755439512619669,0.5604456824512535,0.7307655272026962,0.6834239130434783,0.0,10385.0
7,FTP-Patator,0.5662615740740741,0.3299612207047715,0.49931387796176013,0.4169596250133163,0.5662615740740741,0.3299612207047715,0.49931387796176013,0.4169596250133163,0.0,10931.0
8,PortScan + Infiltration,0.9368258137135353,0.99875,0.94512,0.9667973476598423,0.9368258137135353,0.99875,0.94512,0.9667973476598423,0.0,25000.0
9,SSH-Patator + Heartbleed,0.7790849673202614,0.9226006191950464,0.8304953560371517,0.8447909284195606,0.7790849673202614,0.9226006191950464,0.8304953560371517,0.8447909284195606,0.0,6460.0
10,WebAttack BF + SQL + XSS,0.779852197588487,0.9356042930471302,0.835744283714419,0.8506576156130674,0.779852197588487,0.9356042930471302,0.835744283714419,0.8506576156130674,0.0,4286.0
,Average,0.8064174705301219,0.6870249275853658,0.7274640773063876,0.7286594896350169,0.8064174705301219,0.6870249275853658,0.7274640773063876,0.7286594896350169,0.0,13647.2
