node,category,P,R,Acc,F1
1,Bot,0.7055393586005831,0.6269430051813472,0.6854942233632862,0.663923182441701
2,DDoS,0.9322680658239924,0.9765176117911566,0.9244,0.9538799414348462
3,DoS GoldenEye,0.8736616702355461,0.9917355371900827,0.8979391560353287,0.9289617486338798
4,DoS Hulk,0.9318013343217197,0.945823927765237,0.9016,0.9387602688573562
5,DoS Slowhttptest,0.7723785166240409,0.884765625,0.8118279569892473,0.8247610377787893
6,DoS slowloris,0.8093415007656968,0.9635369188696444,0.8608570052961001,0.8797336662505202
7,FTP-Patator,0.8031442241968558,0.9932375316990701,0.8645928636779506,0.8881330309901738
8,PortScan + Infiltration,0.929982495623906,0.939378630967416,0.896,0.9346569489821563
9,SSH-Patator + Heartbleed,0.7593307593307593,0.9379968203497615,0.8250773993808049,0.8392603129445235
10,WebAttack BF + SQL + XSS,0.7992351816443595,0.9565217391304348,0.8553092182030338,0.8708333333333333
,Average,0.831668310716746,0.9216457347944151,0.8523097822945752,0.872290347164728
