node,category,P,R,Acc,F1
1,Bot,0.7050147492625368,0.6112531969309463,0.6765083440308087,0.6547945205479452
2,DDoS,0.8989971346704871,0.6298619824341279,0.6486,0.7407407407407407
3,DoS GoldenEye,0.8547595682041217,0.8435835351089589,0.7975139025188093,0.8491347794296856
4,DoS Hulk,0.9330759330759331,0.9048926610084873,0.8718,0.9187682169560258
5,DoS Slowhttptest,0.7545691906005222,0.8320537428023033,0.7766373411534702,0.7914194431766317
6,DoS slowloris,0.8196850393700787,0.9196113074204947,0.8459316321617718,0.8667776852622814
7,FTP-Patator,0.7311725452812202,0.6572407883461868,0.6880146386093321,0.6922382671480144
8,PortScan + Infiltration,0.9354372440375813,0.9620911793855302,0.9158,0.9485770123366313
9,SSH-Patator + Heartbleed,0.7843388960205392,0.9201807228915663,0.8289473684210527,0.8468468468468469
10,WebAttack BF + SQL + XSS,0.783203125,0.9547619047619048,0.8483080513418904,0.8605150214592274
,Average,0.8200253425523021,0.8235531021090507,0.7898061278237135,0.8169812533904031
