node,category,P,R,Acc,F1
1,Bot,0.6797752808988764,0.6269430051813472,0.668806161745828,0.6522911051212938
2,DDoS,0.93048128342246,0.9997501873594804,0.94,0.9638728323699421
3,DoS GoldenEye,0.8662988115449916,0.9922216820612543,0.8917239123323519,0.9249943349195558
4,DoS Hulk,0.9325684851322875,0.99899673940306,0.9416,0.9646403487527246
5,DoS Slowhttptest,0.7715481171548118,0.900390625,0.8167155425219942,0.8310049571879224
6,DoS slowloris,0.8007575757575758,0.9635369188696444,0.8541165142031777,0.8746379809681423
7,FTP-Patator,0.791134989926125,0.9957734573119188,0.8554437328453797,0.8817365269461078
8,PortScan + Infiltration,0.92109375,0.8934074261177065,0.855,0.9070393640210284
9,SSH-Patator + Heartbleed,0.7452711223203027,0.9395866454689984,0.8142414860681114,0.8312236286919831
10,WebAttack BF + SQL + XSS,0.7908745247148289,0.9519450800915332,0.8471411901983664,0.8639667705088265
,Average,0.822980394087226,0.9262551766864944,0.8484788539915209,0.8695407849487526
