node,category,P,R,Acc,F1
1,Bot,0.7384615384615385,0.6217616580310881,0.7034659820282413,0.6751054852320675
2,DDoS,0.9151011560693642,0.6327754184361729,0.659,0.7481908137645843
3,DoS GoldenEye,0.8758202927814235,0.8434613514827418,0.8141969250899574,0.8593363051015354
4,DoS Hulk,0.9406936722266349,0.891146225232004,0.8684,0.9152498712004121
5,DoS Slowhttptest,0.7948226270373921,0.8095703125,0.8000977517106549,0.8021286889211418
6,DoS slowloris,0.7822990844354019,0.7010027347310848,0.7390467019740009,0.739423076923077
7,FTP-Patator,0.7673975214489991,0.6804733727810651,0.7154620311070449,0.7213261648745519
8,PortScan + Infiltration,0.9407576913297737,0.9345794392523364,0.9016,0.937658388241257
9,SSH-Patator + Heartbleed,0.7932432432432432,0.9332273449920508,0.8490712074303406,0.8575602629656683
10,WebAttack BF + SQL + XSS,0.8247011952191236,0.9473684210526315,0.8704784130688448,0.8817891373801917
,Average,0.8373298022252895,0.7995366278491176,0.7920819012409085,0.8137768194604487
