node,category,P,R,Acc,F1
1,Bot,0.7071005917159763,0.6112531969309463,0.6777920410783055,0.6556927297668038
2,DDoS,0.9284530386740332,0.8434127979924718,0.8234,0.8838921761998685
3,DoS GoldenEye,0.8851026649191787,0.9811138014527845,0.9012103369316323,0.9306384933394579
4,DoS Hulk,0.9410307234886026,0.9480778831752371,0.9108,0.9445411589156926
5,DoS Slowhttptest,0.7789115646258503,0.8790786948176583,0.8113391984359726,0.8259693417493237
6,DoS slowloris,0.837138508371385,0.9717314487632509,0.8815599422243621,0.8994276369582993
7,FTP-Patator,0.8135474860335196,0.998286203941731,0.8769441903019213,0.8964986533282031
8,PortScan + Infiltration,0.9351510685335298,0.9432606541129831,0.9014,0.9391883557419514
9,SSH-Patator + Heartbleed,0.8007863695937091,0.9201807228915663,0.8413312693498453,0.8563419761737912
10,WebAttack BF + SQL + XSS,0.798,0.95,0.8576429404900817,0.8673913043478261
,Average,0.8425222015955784,0.9046395404078629,0.8483419918812121,0.8699581826521218
