node,category,P,R,Acc,F1
1,Bot,0.772189349112426,0.6508728179551122,0.7214377406931964,0.706359945872801
2,DDoS,0.9266254994551398,0.6363182838613121,0.668,0.7545104998521147
3,DoS GoldenEye,0.9121338912133892,0.8328557784145176,0.8305528295714752,0.8706939590614079
4,DoS Hulk,0.9320054945054945,0.6796894565489607,0.7046,0.7860970311368574
5,DoS Slowhttptest,0.8117283950617284,0.7415413533834586,0.7761485826001955,0.775049115913556
6,DoS slowloris,0.684297520661157,0.3905660377358491,0.5970149253731343,0.4972972972972973
7,FTP-Patator,0.8092369477911646,0.6883005977796754,0.7461116193961573,0.7438855560682972
8,PortScan + Infiltration,0.9495661605206074,0.8790160642570282,0.8664,0.9129301355578728
9,SSH-Patator + Heartbleed,0.7942446043165468,0.9108910891089109,0.8475232198142415,0.8485780169100692
10,WebAttack BF + SQL + XSS,0.8639308855291576,0.9324009324009324,0.8926487747957993,0.8968609865470852
,Average,0.8455958748166813,0.7342452411445757,0.76504376922442,0.7792262544217359
