node,category,P,R,Acc,F1
1,Bot,0.6464379947229552,0.6347150259067358,0.6469833119383825,0.6405228758169934
2,DDoS,0.9216909216909217,1.0,0.9322,0.9592499098449333
3,DoS GoldenEye,0.8504398826979472,0.9950980392156863,0.8799476611056591,0.9170996159927717
4,DoS Hulk,0.9219712525667351,0.9990111248454883,0.9308,0.9589463692453726
5,DoS Slowhttptest,0.7299324831207802,0.9355769230769231,0.7913000977517106,0.8200589970501475
6,DoS slowloris,0.7505376344086021,0.9757688723205965,0.8199325950890708,0.8484602917341977
7,FTP-Patator,0.7749343832020997,0.9983093829247676,0.8421774931381518,0.8725526413003325
8,PortScan + Infiltration,0.9181301014098442,0.9163169587756109,0.866,0.9172226340499136
9,SSH-Patator + Heartbleed,0.7417783191230207,0.9269406392694064,0.7987616099071208,0.8240866035182679
10,WebAttack BF + SQL + XSS,0.7188081936685289,0.9323671497584541,0.7911318553092183,0.8117770767613038
,Average,0.7974661166611435,0.9314104116093669,0.8299234624239314,0.8569977015314233
