node,category,P,R,Acc,F1
1,Bot,0.7111716621253406,0.6709511568123393,0.699614890885751,0.6904761904761905
2,DDoS,0.9352484106428067,1.0,0.945,0.966540941720404
3,DoS GoldenEye,0.8843804537521816,0.9926542605288933,0.9084069349035002,0.9353945546838948
4,DoS Hulk,0.9390672603702835,0.998753738783649,0.947,0.9679913032974997
5,DoS Slowhttptest,0.7832512315270936,0.9103053435114504,0.8250244379276638,0.8420123565754634
6,DoS slowloris,0.804972804972805,0.9673202614379085,0.8623013962445836,0.8787107718405428
7,FTP-Patator,0.797938144329897,0.9974226804123711,0.8641354071363221,0.8865979381443299
8,PortScan + Infiltration,0.9284974093264249,0.9009552538964304,0.866,0.9145190099515182
9,SSH-Patator + Heartbleed,0.7631241997439181,0.9341692789968652,0.8243034055727554,0.8400281888653982
10,WebAttack BF + SQL + XSS,0.7686567164179104,0.9363636363636364,0.822637106184364,0.8442622950819673
,Average,0.8316308293208661,0.9308895610743543,0.856442357885494,0.8766533550637208
