node,category,P,R,Acc,F1
1,Bot,0.7150837988826816,0.6597938144329897,0.699614890885751,0.6863270777479893
2,DDoS,0.9326923076923077,1.0,0.9426,0.9651741293532339
3,DoS GoldenEye,0.8875816993464052,0.9912408759124087,0.9097154072620216,0.9365517241379311
4,DoS Hulk,0.9337781072399308,0.9516494585746663,0.908,0.9426290845597406
5,DoS Slowhttptest,0.7470956210902592,0.7977099236641222,0.7580645161290323,0.7715736040609137
6,DoS slowloris,0.8082298136645962,0.9302949061662198,0.8435243139142995,0.8649771499792273
7,FTP-Patator,0.7520891364902507,0.6864406779661016,0.7086001829826166,0.717766947275144
8,PortScan + Infiltration,0.9354350567465322,0.9302733885126662,0.8932,0.9328470824949698
9,SSH-Patator + Heartbleed,0.7701149425287356,0.945141065830721,0.8335913312693498,0.848698099929627
10,WebAttack BF + SQL + XSS,0.7755905511811023,0.9448441247002398,0.8401400233372228,0.8518918918918919
,Average,0.8257691034862802,0.8837388235760135,0.8337050665780295,0.8518436791430668
