node,category,P,R,Acc,F1
1,Bot,0.7794561933534743,0.6632390745501285,0.7381258023106547,0.7166666666666667
2,DDoS,0.9258984809188588,0.629154078549849,0.6654,0.7492130115424974
3,DoS GoldenEye,0.9073891625615763,0.9020568070519099,0.8730781812234216,0.9047151277013753
4,DoS Hulk,0.9490445859872612,0.8913260219341974,0.8744,0.919280205655527
5,DoS Slowhttptest,0.8031968031968032,0.767175572519084,0.7844574780058651,0.7847730600292826
6,DoS slowloris,0.7692307692307693,0.5975723622782446,0.7000481463649495,0.6726221755123489
7,FTP-Patator,0.798974358974359,0.6692439862542955,0.7342177493138152,0.7283777466105656
8,PortScan + Infiltration,0.9470413401783302,0.8810960281548517,0.8662,0.9128792811564006
9,SSH-Patator + Heartbleed,0.8082191780821918,0.9247648902821317,0.8544891640866873,0.8625730994152047
10,WebAttack BF + SQL + XSS,0.8115079365079365,0.9295454545454546,0.852975495915986,0.8665254237288136
,Average,0.8499958808991561,0.7855174276120147,0.794339201722138,0.8117625798018683
