node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.7557281553398059,0.9989733059548255,0.8380390143737166,0.860490824673889,0.7399239543726236,0.9989733059548255,0.8239219712525667,0.8501529051987767,3.0,3146.0
2,DDoS,0.9684246210470241,0.99985,0.9738,0.9838864424709095,0.9725694275570255,0.99985,0.97732,0.9860210547077242,3.0,19902.0
3,DoS GoldenEye,0.9962912087912088,0.7051331907447015,0.7998168258537224,0.8257998406011613,0.9682349813928761,0.7082442154384601,0.7880413450215884,0.8180797304884896,3.0,12037.0
4,DoS Hulk,0.9916182094399916,0.94645,0.95076,0.9685077643326767,0.9943722716036396,0.9453,0.95196,0.9692153897418809,3.0,20029.0
5,DoS Slowhttptest,0.938921651221567,0.8527161438408569,0.8963629253030896,0.8937449879711307,0.9265501456512693,0.8517597551644989,0.8897145091904576,0.8875822204504684,3.0,8085.0
6,DoS slowloris,0.8264094955489614,0.9309192200557103,0.862782859894078,0.8755567199371234,0.8091946632374216,0.9348189415041783,0.8519017814155031,0.867482336722385,3.0,8308.0
7,FTP-Patator,0.8538028575552028,0.9974709155285787,0.9059555392919221,0.9200622083981338,0.8747408942848682,0.996122070477154,0.9205013265026073,0.931493890421758,3.0,6105.0
8,PortScan + Infiltration,0.9490881458966566,0.9992,0.95648,0.9734996102883866,0.9567448328777634,0.99755,0.96196,0.9767214158078966,3.0,19903.0
9,SSH-Patator + Heartbleed,0.8193069306930693,0.9222910216718266,0.8594427244582044,0.8677541508884358,0.7980717728976968,0.9226006191950464,0.8445820433436533,0.8558299827685238,3.0,5145.0
10,WebAttack BF + SQL + XSS,0.9344578313253012,0.9048063462435838,0.9206719552029865,0.9193930772878142,0.9344578313253012,0.9048063462435838,0.9206719552029865,0.9193930772878142,3.0,3366.0
,Average,0.903404910685879,0.9257810144040084,0.8964111844377719,0.9088695626849661,0.8974860775200486,0.9260025253977746,0.8930574931929364,0.9061972003595719,3.0,10602.6
