node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.746517027863777,0.9902464065708418,0.8270020533880903,0.8512797881729921,0.7309586964759378,0.9902464065708418,0.8128850102669405,0.8410725964682799,3.0,3147.0
2,DDoS,0.9672115291614276,1.0,0.97288,0.9833325138895718,0.9616771649757176,1.0,0.96812,0.9804642498222909,3.0,19916.0
3,DoS GoldenEye,0.9107704028187792,0.9298075053470737,0.8914693183304985,0.9201905036801847,0.8939464602182632,0.9317518957806727,0.8796938374983645,0.9124577521778455,3.0,12358.0
4,DoS Hulk,0.9926919093106227,0.86255,0.88496,0.9230563433035476,0.9874642243846594,0.86255,0.88128,0.9207899653055778,3.0,20038.0
5,DoS Slowhttptest,0.9634883720930233,0.7924636572302984,0.8785686351192804,0.8696473551637279,0.9520563508293569,0.8014537107880643,0.8778842393429801,0.8702876726555198,3.0,8175.0
6,DoS slowloris,0.8328973185088293,0.9459610027855153,0.873567645642754,0.8858360142596295,0.8124401913875599,0.9459610027855153,0.8587385652383245,0.8741312741312741,3.0,8315.0
7,FTP-Patator,0.9045871559633027,0.9974709155285787,0.9415424023419632,0.9487611258118835,0.9229199372056515,0.9912325071657393,0.9503247644314335,0.9558572473782619,3.0,6783.0
8,PortScan + Infiltration,0.9552607369389435,0.98645,0.9522,0.9706048754089489,0.9591748204559696,0.995,0.96212,0.9767590252043096,3.0,20110.0
9,SSH-Patator + Heartbleed,0.8023429710867398,0.996594427244582,0.8755417956656347,0.8889809444904723,0.7846528623629719,0.9972136222910216,0.861764705882353,0.8782549420586231,3.0,5198.0
10,WebAttack BF + SQL + XSS,0.9171882522869523,0.8889407372841811,0.9043397106859543,0.9028436018957346,0.8889407372841811,0.8889407372841811,0.8889407372841811,0.8889407372841811,3.0,3365.0
,Average,0.8992955676032397,0.939048465199107,0.9002071561174176,0.9144533066076692,0.8894231445580267,0.9404349882666037,0.8941751859944578,0.9099015462486164,3.0,10740.5
