node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.7445506692160612,0.9994866529774127,0.8282854209445585,0.8533859303090072,0.7292134831460674,0.9994866529774127,0.8141683778234087,0.8432221741013426,3.0,3148.0
2,DDoS,0.9686591745785701,0.99985,0.974,0.9840074795787817,0.969034696646637,0.99985,0.97432,0.9842012009056009,3.0,19848.0
3,DoS GoldenEye,0.9287415452033915,0.947793116857865,0.9159361507261546,0.9381706202184478,0.9264468307516868,0.947793116857865,0.9142352479392909,0.9369984141477246,3.0,12253.0
4,DoS Hulk,0.9947542794036444,0.90075,0.9168,0.9454211493046445,0.9936432480238793,0.8988,0.91444,0.9438450027565567,3.0,20039.0
5,DoS Slowhttptest,0.8863677291554115,0.941469013006886,0.9083887368009386,0.9130878397180224,0.8713832039520113,0.9447207345065034,0.9004692999608916,0.9065712187958884,3.0,8684.0
6,DoS slowloris,0.8698935805012015,0.9411327762302693,0.8964853153586905,0.9041120328249042,0.8527679623085983,0.9411327762302693,0.88521906596052,0.894774011299435,3.0,8254.0
7,FTP-Patator,0.8586736171445121,0.9998313943685719,0.9106211691519531,0.9238918750486874,0.8784325367374202,0.9978081267914348,0.9238861952245906,0.9343227028733817,3.0,6728.0
8,PortScan + Infiltration,0.9707257072570725,0.9865,0.9654,0.9785492870427774,0.9691627792781733,0.98685,0.96436,0.9779264214046822,3.0,19961.0
9,SSH-Patator + Heartbleed,0.8057127458905955,0.9256965944272446,0.8512383900928793,0.8615473274744273,0.7851890756302521,0.9256965944272446,0.8362229102167182,0.8496732026143791,3.0,5159.0
10,WebAttack BF + SQL + XSS,0.9588607594936709,0.8483434437704153,0.9059729351376575,0.9002228274325328,0.9493472584856397,0.8483434437704153,0.9015398973401774,0.8960078856579596,3.0,3393.0
,Average,0.8986939807844132,0.9490852991638666,0.9073128118212832,0.9202396368952233,0.8924621074960365,0.9490481445561146,0.9028860994465597,0.9167542234556951,3.0,10746.7
