node,category,P,R,Acc,F1
1,Bot,0.08602150537634409,0.02099737532808399,0.4120667522464698,0.03375527426160337
2,DDoS,0.917174614557189,0.642713567839196,0.6694,0.7557984931304477
3,DoS GoldenEye,0.8815298507462687,0.9324124321657622,0.8720968269545306,0.9062574922081036
4,DoS Hulk,0.9348500517063082,0.9010715175679043,0.8702,0.9176500444106078
5,DoS Slowhttptest,0.773109243697479,0.8157635467980295,0.7898338220918866,0.7938638542665388
6,DoS slowloris,0.7944444444444444,0.927710843373494,0.8377467501203659,0.8559213339033775
7,FTP-Patator,0.75,0.6856414613423959,0.7076852698993595,0.7163781624500666
8,PortScan + Infiltration,0.8716523496715513,0.4346182917611489,0.5004,0.5800268997982515
9,SSH-Patator + Heartbleed,0.8038961038961039,0.9225037257824144,0.8428792569659442,0.8591256072172103
10,WebAttack BF + SQL + XSS,0.7746478873239436,0.9322033898305084,0.8366394399066511,0.8461538461538461
,Average,0.7587326051419632,0.7215636151788938,0.7338948118185209,0.7264931007800053
