node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.8156761412575366,0.9722792607802875,0.8762833675564682,0.8871194379391101,0.6801587301587302,0.43993839835728954,0.61652977412731,0.53428927680798,3.0,3679.0
2,DDoS,0.9831833603776369,0.99975,0.98612,0.9913974762624885,0.983570269073737,0.99975,0.98644,0.9915941382131964,3.0,19899.0
3,DoS GoldenEye,0.8960239268121042,0.9902780478320047,0.9161324087400236,0.9407961577537637,0.8498086204027292,0.9929029749173635,0.8771424833180688,0.915799856527977,3.0,12546.0
4,DoS Hulk,0.9915054270882492,0.94545,0.94988,0.9679301783931816,0.9906209064710506,0.9453,0.94908,0.9674299603428426,3.0,20101.0
5,DoS Slowhttptest,0.8657355679702048,0.8892501912777353,0.872897927258506,0.8773353462917531,0.8333664744482004,0.8016449885233359,0.8166797027766914,0.817198011114361,3.0,8956.0
6,DoS slowloris,0.7998046875,0.9125348189415042,0.8362060664419836,0.8524590163934426,0.8742762613730356,0.588857938718663,0.7428984111699567,0.703728362183755,3.0,9678.0
7,FTP-Patator,0.91692498450093,0.9974709155285787,0.9495929009239776,0.955503512880562,0.94296875,0.40701399426740853,0.6648979965236483,0.568602049228595,3.0,10241.0
8,PortScan + Infiltration,0.9571825853471423,0.99815,0.9628,0.9772371255140004,0.9570449206577496,0.99815,0.96268,0.9771653736018993,3.0,19827.0
9,SSH-Patator + Heartbleed,0.820236260914227,0.9888544891640867,0.8860681114551083,0.8966872543514879,0.702365308804205,0.9928792569659443,0.7860681114551084,0.8227296049256029,3.0,5515.0
10,WebAttack BF + SQL + XSS,0.9277511961722488,0.9048063462435838,0.9171721885207653,0.9161351287502953,0.7828973057399453,0.9356042930471302,0.8380774615025665,0.8524659863945578,3.0,3711.0
,Average,0.897402413794028,0.9598824069767782,0.9153152970896834,0.9262600634530085,0.8597077547129383,0.8102041844797135,0.824049394087335,0.8151002619340767,3.0,11415.3
