node,category,P,R,Acc,F1
1,Bot,0.8087774294670846,0.6632390745501285,0.7535301668806161,0.7288135593220338
2,DDoS,0.9298507462686567,0.6273917421953675,0.6664,0.7492483463619964
3,DoS GoldenEye,0.9078807241746539,0.8349657198824681,0.8331697742885181,0.8698979591836735
4,DoS Hulk,0.9525965379494008,0.8915752741774676,0.8774,0.9210763486545642
5,DoS Slowhttptest,0.8125,0.7566793893129771,0.7859237536656891,0.7835968379446641
6,DoS slowloris,0.7868217054263565,0.5686274509803921,0.6981222917669716,0.6601626016260163
7,FTP-Patator,0.8182773109243697,0.6692439862542955,0.7447392497712717,0.7362948960302458
8,PortScan + Infiltration,0.9521998913633895,0.8813474107591754,0.8704,0.9154046997389034
9,SSH-Patator + Heartbleed,0.8226256983240223,0.9231974921630094,0.8637770897832817,0.8700147710487445
10,WebAttack BF + SQL + XSS,0.8200836820083682,0.8909090909090909,0.8436406067677946,0.8540305010893247
,Average,0.8611613725906302,0.7707176631184371,0.7937102932924144,0.8088540521000167
