node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.7207407407407408,0.9989733059548255,0.8059548254620124,0.8373493975903614,0.7112084702446149,1.0,0.7969712525667351,0.831235331768722,3.0,3361.0
2,DDoS,0.9684715226656335,0.99985,0.97384,0.9839106475103326,0.9565196594279154,0.99985,0.96352,0.9777049821542072,3.0,21567.0
3,DoS GoldenEye,0.8946859903381642,0.9902780478320047,0.9150202799947664,0.9400581422177103,0.8838156298735055,0.991736340657204,0.9067120240743164,0.9346710646875572,3.0,13187.0
4,DoS Hulk,0.9918750327619646,0.9461,0.95068,0.9684469125060777,0.9805016808895785,0.9479,0.94324,0.9639252574043473,3.0,21567.0
5,DoS Slowhttptest,0.9375394321766561,0.8527161438408569,0.8956785295267892,0.8931183011118902,0.9203703703703704,0.8555853098699311,0.8883457176378569,0.8867961934972244,3.0,8824.0
6,DoS slowloris,0.8186640145864412,0.9171773444753946,0.8517091959557054,0.8651252408477842,0.8172043010752689,0.9314763231197771,0.856427539720751,0.8706066128612341,3.0,8958.0
7,FTP-Patator,0.8601337598138994,0.9974709155285787,0.9106211691519531,0.9237255055039425,0.8463519313304722,0.9974709155285787,0.9003750800475712,0.9157185976317622,3.0,9431.0
8,PortScan + Infiltration,0.9489103081525094,0.99925,0.95636,0.9734297752124887,0.9560223955591711,0.9989,0.96236,0.9769909773333008,3.0,21492.0
9,SSH-Patator + Heartbleed,0.8445390070921985,0.921671826625387,0.8760061919504644,0.881421169504071,0.83008356545961,0.9226006191950464,0.8668730650154799,0.873900293255132,3.0,5573.0
10,WebAttack BF + SQL + XSS,0.9453924914675768,0.9048063462435838,0.9262715818945404,0.9246542680019075,0.9295302013422819,0.9048063462435838,0.9181054596360243,0.9170016552376449,3.0,3471.0
,Average,0.8930952299795785,0.9528293930500631,0.9062141773936233,0.9191239360006567,0.8831608205572788,0.9550325854614121,0.9002930138698734,0.914855096583113,3.0,11743.1
