node,category,P,R,Acc,F1
1,Bot,0.6603260869565217,0.6151898734177215,0.6444159178433889,0.6369593709043251
2,DDoS,0.8936242754858507,0.6541053156975293,0.6604,0.7553314121037464
3,DoS GoldenEye,0.8693895870736086,0.9546574667323805,0.8747137716715735,0.9100305379375146
4,DoS Hulk,0.9165813715455476,0.9011320754716982,0.8562,0.9087910693898262
5,DoS Slowhttptest,0.756003098373354,0.911297852474323,0.7996089931573802,0.8264182895850973
6,DoS slowloris,0.7665165165165165,0.9733079122974261,0.836783822821377,0.8576228475430492
7,FTP-Patator,0.7935568704799474,0.9991721854304636,0.8559011893870082,0.8845731037009894
8,PortScan + Infiltration,0.926829268292683,0.9887415561671253,0.9286,0.9567848928701126
9,SSH-Patator + Heartbleed,0.7307692307692307,0.9062003179650239,0.791795665634675,0.8090844570617459
10,WebAttack BF + SQL + XSS,0.7577981651376147,0.9280898876404494,0.808634772462077,0.8343434343434344
,Average,0.8071394470630875,0.8831894443294142,0.805705413297748,0.8379939415439841
