node,category,P,R,Acc,F1
1,Bot,0.6936416184971098,0.6217616580310881,0.6765083440308087,0.6557377049180327
2,DDoS,0.9046941678520626,0.6355233574818886,0.6546,0.7465884079236977
3,DoS GoldenEye,0.8665755919854281,0.9251336898395722,0.8537782139352306,0.894897719256995
4,DoS Hulk,0.9288496494417035,0.8971657888136444,0.8632,0.9127328400102067
5,DoS Slowhttptest,0.7584629460201281,0.8095703125,0.7756598240469208,0.7831837505904582
6,DoS slowloris,0.7962674961119751,0.9334548769371012,0.8387096774193549,0.8594208980276962
7,FTP-Patator,0.7433056325023084,0.6804733727810651,0.6999085086916743,0.7105030891438658
8,PortScan + Infiltration,0.9276066990815776,0.8673907552412226,0.8414,0.8964887090458165
9,SSH-Patator + Heartbleed,0.7574193548387097,0.9332273449920508,0.8219814241486069,0.8361823361823362
10,WebAttack BF + SQL + XSS,0.7915869980879541,0.9473684210526315,0.8459743290548425,0.8625
,Average,0.8168410154418957,0.8251069577670263,0.7871720321327439,0.8158235455099104
