node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.8156761412575366,0.9722792607802875,0.8762833675564682,0.8871194379391101,0.8325971731448764,0.9676591375770021,0.8865503080082136,0.8950617283950617,3.0,2553.0
2,DDoS,0.9831833603776369,0.99975,0.98612,0.9913974762624885,0.9845388743906642,0.99975,0.98724,0.9920861346101367,3.0,19932.0
3,DoS GoldenEye,0.8960239268121042,0.9902780478320047,0.9161324087400236,0.9407961577537637,0.8802209181912323,0.991639121135524,0.9035718958524139,0.9326140623571363,3.0,12351.0
4,DoS Hulk,0.9915054270882492,0.94545,0.94988,0.9679301783931816,0.9858898260960116,0.94675,0.94656,0.9659235831250319,3.0,20137.0
5,DoS Slowhttptest,0.8657355679702048,0.8892501912777353,0.872897927258506,0.8773353462917531,0.8533137506884524,0.8890589135424637,0.8651740320688307,0.8708196721311475,3.0,8058.0
6,DoS slowloris,0.7998046875,0.9125348189415042,0.8362060664419836,0.8524590163934426,0.7954906319466497,0.9303621169916435,0.8398651901781415,0.8576564238637336,3.0,8319.0
7,FTP-Patator,0.91692498450093,0.9974709155285787,0.9495929009239776,0.955503512880562,0.9327717736808646,0.9895464508514584,0.9556307748604885,0.9603207068641086,3.0,6497.0
8,PortScan + Infiltration,0.9571825853471423,0.99815,0.9628,0.9772371255140004,0.9568283206216722,0.99735,0.96188,0.976669033221534,3.0,19882.0
9,SSH-Patator + Heartbleed,0.820236260914227,0.9888544891640867,0.8860681114551083,0.8966872543514879,0.8017046878917021,0.990092879256966,0.8726006191950464,0.8859952902063998,3.0,5185.0
10,WebAttack BF + SQL + XSS,0.9277511961722488,0.9048063462435838,0.9171721885207653,0.9161351287502953,0.9052287581699346,0.9048063462435838,0.9050396640223985,0.9050175029171529,3.0,3361.0
,Average,0.897402413794028,0.9598824069767782,0.9153152970896834,0.9262600634530085,0.892858471482206,0.9607014965598643,0.9124112484185533,0.9242164137691443,3.0,10627.5
