node,category,P,R,Acc,F1
1,Bot,0.7029411764705882,0.6112531969309463,0.675224646983312,0.6538987688098495
2,DDoS,0.8977110157367668,0.6298619824341279,0.6478,0.7403037900014747
3,DoS GoldenEye,0.8510324483775811,0.8382566585956417,0.7916257769054629,0.8445962429860941
4,DoS Hulk,0.9311584895967121,0.9048926610084873,0.8702,0.917837700974807
5,DoS Slowhttptest,0.749351771823682,0.8320537428023033,0.7727272727272727,0.7885402455661664
6,DoS slowloris,0.8144654088050315,0.9151943462897526,0.8401540683678382,0.8618968386023295
7,FTP-Patator,0.7270142180094786,0.6572407883461868,0.6852698993595608,0.6903690369036903
8,PortScan + Infiltration,0.9361254094525036,0.9913280475718533,0.9384,0.9629362214199759
9,SSH-Patator + Heartbleed,0.7833333333333333,0.9201807228915663,0.8281733746130031,0.8462603878116344
10,WebAttack BF + SQL + XSS,0.7786407766990291,0.9547619047619048,0.8448074679113186,0.8577540106951872
,Average,0.8171774048304707,0.825502405163277,0.7894382506867769,0.816439324377121
