node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.8036164844407064,0.981006160164271,0.8706365503080082,0.883495145631068,0.8163793103448276,0.9722792607802875,0.8767967145790554,0.887535145267104,3.0,2516.0
2,DDoS,0.986367375719826,0.8393,0.86216,0.9069101518180345,0.9922631703283723,0.84005,0.8668,0.9098342900465721,3.0,20072.0
3,DoS GoldenEye,0.956425548287803,0.966653704063776,0.9479262069867853,0.9615124262643845,0.956425548287803,0.966653704063776,0.9479262069867853,0.9615124262643845,3.0,12218.0
4,DoS Hulk,0.995637564110122,0.84445,0.8726,0.9138327516705895,0.9934023959719891,0.85825,0.88204,0.9208938007993777,3.0,20181.0
5,DoS Slowhttptest,0.8326071169208424,0.8771996939556236,0.8470864294094642,0.8543219076005961,0.8257314192258768,0.8691660290742158,0.8393625342197888,0.8468921815301463,3.0,8092.0
6,DoS slowloris,0.8068976736619489,0.9210770659238626,0.844776119402985,0.8602150537634409,0.8103703703703704,0.9142061281337047,0.8445835339431873,0.8591623036649214,3.0,7578.0
7,FTP-Patator,0.9235092101155167,0.9974709155285787,0.9538011160918489,0.9590662235551592,0.9005936976708784,0.9974709155285787,0.9388893971274357,0.94656,3.0,8748.0
8,PortScan + Infiltration,0.9598325957283048,0.99765,0.96472,0.9783759929390997,0.9598267981717585,0.9975,0.9646,0.9783008458992276,3.0,19832.0
9,SSH-Patator + Heartbleed,0.8503597122302158,0.9148606811145511,0.8769349845201239,0.8814317673378076,0.8406453439003679,0.9195046439628483,0.8726006191950464,0.8783084429986693,3.0,5110.0
10,WebAttack BF + SQL + XSS,0.9119840875186475,0.8558096126924871,0.8866075594960336,0.8830043331728454,0.895070766227428,0.8558096126924871,0.8777414839010733,0.875,3.0,3382.0
,Average,0.9027237368733934,0.9195477833443151,0.8927248966215249,0.9082165753753024,0.8990708820499671,0.9190890294235897,0.8911340489952373,0.9063999436470402,3.0,10772.9
