node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.7940436241610739,0.9717659137577002,0.8598562628336756,0.8739612188365651,0.7770491803278688,0.973305954825462,0.8470225872689938,0.8641750227894257,3.0,3131.0
2,DDoS,0.9696925613422559,0.99985,0.97488,0.9845403968293043,0.9706339190369867,0.99985,0.97568,0.9850253682084626,3.0,19862.0
3,DoS GoldenEye,0.8942932396839333,0.9902780478320047,0.914693183304985,0.9398412991326813,0.8796726959517657,0.9929029749173635,0.9038335732042392,0.9328644501278772,3.0,12350.0
4,DoS Hulk,0.9912239213831521,0.9431,0.9478,0.9665633247072689,0.9760735879282725,0.9444,0.937,0.9599756041777846,3.0,20142.0
5,DoS Slowhttptest,0.9074220292143703,0.8793037490436113,0.892452092295659,0.8931416359044103,0.8953332053005569,0.8917368018362662,0.8913766132186156,0.8935313847628175,3.0,7997.0
6,DoS slowloris,0.7906099033816425,0.9725162488393686,0.8521906596051998,0.8721791989341328,0.795632530120482,0.981058495821727,0.8595089070775156,0.8786694386694387,3.0,7366.0
7,FTP-Patator,0.9012797074954296,0.9974709155285787,0.9393468118195957,0.9469387755102041,0.922090112640801,0.9937615916371607,0.9510566279388893,0.9565852470989207,3.0,6702.0
8,PortScan + Infiltration,0.9524649566129494,0.99885,0.9592,0.9751061648850491,0.9558492553751855,0.99805,0.96156,0.9764938972188929,3.0,19852.0
9,SSH-Patator + Heartbleed,0.8801322678423809,0.9888544891640867,0.9270897832817337,0.9313310978276717,0.8594043466595117,0.991640866873065,0.9147058823529411,0.9207991950553399,3.0,5143.0
10,WebAttack BF + SQL + XSS,0.8686096512183469,0.8483434437704153,0.8600093327111525,0.8583569405099151,0.8719424460431655,0.8483434437704153,0.8618758749416705,0.8599810785241249,3.0,3360.0
,Average,0.8949771862335535,0.9590332807935766,0.9127518125852001,0.9241960053077204,0.8903681279384597,0.9615050129681461,0.9103620066002864,0.9228100686633084,3.0,10590.5
