node,category,P,R,Acc,F1
1,Bot,0.7189349112426036,0.6151898734177215,0.6829268292682927,0.6630286493860846
2,DDoS,0.9088625762468604,0.6321437484402296,0.6544,0.7456579334707094
3,DoS GoldenEye,0.8806963645673324,0.8477082306554953,0.8227019954203467,0.8638874937217479
4,DoS Hulk,0.9291828793774319,0.9011320754716982,0.8668,0.9149425287356322
5,DoS Slowhttptest,0.7711487088156723,0.8085901027077498,0.7741935483870968,0.7894257064721969
6,DoS slowloris,0.7802469135802469,0.90371782650143,0.8228213769860375,0.8374558303886925
7,FTP-Patator,0.7574349442379182,0.6746688741721855,0.7008234217749314,0.7136602451838879
8,PortScan + Infiltration,0.9341104916371009,0.9221916437327996,0.8858,0.9281128037265517
9,SSH-Patator + Heartbleed,0.774281805745554,0.8998410174880763,0.8235294117647058,0.8323529411764706
10,WebAttack BF + SQL + XSS,0.7972972972972973,0.9280898876404494,0.8401400233372228,0.857736240913811
,Average,0.8252196892748017,0.8133273280227835,0.7874136606938633,0.8146260373175785
