node,category,P,R,Acc,F1
1,Bot,0.7029411764705882,0.6112531969309463,0.675224646983312,0.6538987688098495
2,DDoS,0.8955908289241623,0.6371392722710163,0.6516,0.7445747800586511
3,DoS GoldenEye,0.8596171376481313,0.913317191283293,0.8406934903500164,0.8856539093683964
4,DoS Hulk,0.9282970550576184,0.9048926610084873,0.8678,0.9164454556946025
5,DoS Slowhttptest,0.7435677530017153,0.8320537428023033,0.7683284457478006,0.7853260869565217
6,DoS slowloris,0.8155487804878049,0.9452296819787986,0.8536350505536832,0.8756137479541735
7,FTP-Patator,0.7208646616541353,0.6572407883461868,0.681152790484904,0.6875840430300314
8,PortScan + Infiltration,0.9350799907257129,0.9992566897918731,0.9434,0.9661037249970056
9,SSH-Patator + Heartbleed,0.77735368956743,0.9201807228915663,0.8235294117647058,0.8427586206896551
10,WebAttack BF + SQL + XSS,0.7741312741312741,0.9547619047619048,0.8413068844807468,0.8550106609808102
,Average,0.8152992347668574,0.8375325852066376,0.7946670720365169,0.8212969798539698
