node,category,P,R,Acc,F1
1,Bot,0.7685459940652819,0.6658097686375322,0.7329910141206675,0.7134986225895317
2,DDoS,0.9238374221896741,0.6351963746223565,0.6686,0.7527972549604655
3,DoS GoldenEye,0.9063088512241054,0.9427032321253673,0.8966306836768073,0.9241478636581854
4,DoS Hulk,0.9448257655755016,0.8920737786640079,0.8716,0.9176923076923077
5,DoS Slowhttptest,0.7956064947468959,0.7948473282442748,0.7903225806451613,0.7952267303102625
6,DoS slowloris,0.8308080808080808,0.9215686274509803,0.862782859894078,0.8738379814077025
7,FTP-Patator,0.7852822580645161,0.6692439862542955,0.7264409881061299,0.7226345083487941
8,PortScan + Infiltration,0.9432851792402355,0.886375062845651,0.8672,0.9139450492483152
9,SSH-Patator + Heartbleed,0.8018995929443691,0.9263322884012539,0.8506191950464397,0.8596363636363636
10,WebAttack BF + SQL + XSS,0.8,0.8909090909090909,0.8296382730455076,0.843010752688172
,Average,0.850039963885866,0.822505953815481,0.809682559453479,0.8316427434540101
