node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.7196745562130178,0.9989733059548255,0.8049281314168378,0.8366294067067928,0.7053280173976079,0.9989733059548255,0.7908110882956879,0.8268536222647122,3.0,3150.0
2,DDoS,0.9707153610800835,0.9994,0.9754,0.9848488581212584,0.9705268268997329,0.9994,0.97524,0.9847518167261978,3.0,19856.0
3,DoS GoldenEye,0.9091700522344748,0.9137662842698814,0.8805442888917964,0.9114623739332817,0.8923091494601251,0.9159051137468404,0.8690304854114876,0.9039531759739013,3.0,12353.0
4,DoS Hulk,0.9926416482707874,0.9443,0.94984,0.9678675754625121,0.9804094324954652,0.94585,0.94156,0.9628196971624888,3.0,20100.0
5,DoS Slowhttptest,0.9306951423785594,0.850229533282326,0.8910833007430583,0.8886445421831267,0.9186495830791133,0.8640015302218822,0.8913766132186156,0.8904879250862494,3.0,8079.0
6,DoS slowloris,0.7954403497813867,0.9459610027855153,0.845835339431873,0.8641954364237849,0.7857803824799506,0.9461467038068709,0.8383245064997593,0.8585390513101356,3.0,8302.0
7,FTP-Patator,0.863642992562345,0.9984825493171472,0.9136401061202086,0.9261807944948389,0.8818426562967394,0.9940988029000168,0.9245265757936145,0.934612031386225,3.0,6616.0
8,PortScan + Infiltration,0.9492443684060451,0.9987,0.95624,0.9733443789289021,0.9516044438087065,0.9979,0.95772,0.9742025236131111,3.0,19895.0
9,SSH-Patator + Heartbleed,0.8388526727509779,0.9959752321981424,0.9023219814241487,0.9106864826610049,0.8193384223918575,0.9969040247678018,0.8885448916408669,0.8994413407821229,3.0,5177.0
10,WebAttack BF + SQL + XSS,0.8936921041023379,0.9454036397573495,0.9164722351843211,0.9188208616780046,0.8812527185732927,0.9454036397573495,0.9090060662622492,0.9122017109410175,3.0,3381.0
,Average,0.8863769247780015,0.9591191547565188,0.9036305383212243,0.9182680710593507,0.8787041632882591,0.9604583121155587,0.8986140227122281,0.9147862895246162,3.0,10690.9
