node,category,P,R,Acc,F1
1,Bot,0.11214953271028037,0.031088082901554404,0.3979460847240051,0.0486815415821501
2,DDoS,0.9133430021754895,0.6292780414688983,0.6554,0.7451560420056205
3,DoS GoldenEye,0.8776003870343493,0.881866796305299,0.8377494275433431,0.8797284190106692
4,DoS Hulk,0.9356526288255297,0.8971657888136444,0.8688,0.9160051216389244
5,DoS Slowhttptest,0.775491113189897,0.8095703125,0.7873900293255132,0.7921643573817487
6,DoS slowloris,0.8074735987002437,0.9061075660893345,0.8363023591718826,0.8539518900343642
7,FTP-Patator,0.7652091254752852,0.6804733727810651,0.7140896614821592,0.7203579418344519
8,PortScan + Infiltration,0.8747433264887063,0.4304117201313463,0.5002,0.5769426104621636
9,SSH-Patator + Heartbleed,0.7774834437086092,0.9332273449920508,0.8374613003095975,0.8482658959537572
10,WebAttack BF + SQL + XSS,0.8133595284872298,0.9473684210526315,0.8623103850641773,0.8752642706131079
,Average,0.765250568679562,0.7146557447035824,0.7297649247620679,0.7256518090516957
