node,category,P,R,Acc,F1
1,Bot,0.37037037037037035,0.025906735751295335,0.49550706033376124,0.048426150121065374
2,DDoS,0.9825242718446602,0.632025980514614,0.6964,0.7692307692307693
3,DoS GoldenEye,0.9685534591194969,0.8235294117647058,0.863264638534511,0.8901734104046243
4,DoS Hulk,0.9867439933719967,0.8961625282167043,0.9076,0.9392744479495269
5,DoS Slowhttptest,0.9285714285714286,0.7236328125,0.833822091886608,0.8133918770581778
6,DoS slowloris,0.4897959183673469,0.04375569735642662,0.470871449205585,0.0803347280334728
7,FTP-Patator,0.0,0.0,0.43504117108874657,0.0
8,PortScan + Infiltration,0.0,0.0,0.1998,0.0
9,SSH-Patator + Heartbleed,0.03125,0.001589825119236884,0.48993808049535603,0.0030257186081694403
10,WebAttack BF + SQL + XSS,0.16,0.009153318077803204,0.47024504084014,0.017316017316017316
,Average,0.49178094416453,0.3155756309300787,0.5862489532384708,0.35611731187218226
