node,category,P,R,Acc,F1
1,Bot,0.6903409090909091,0.6151898734177215,0.6649550706033376,0.6506024096385542
2,DDoS,0.9030558482613277,0.6416271524831545,0.6576,0.7502188503063905
3,DoS GoldenEye,0.8865932047750229,0.9517003449975358,0.887144259077527,0.9179938198241027
4,DoS Hulk,0.924864446165763,0.9011320754716982,0.8632,0.9128440366972477
5,DoS Slowhttptest,0.7497835497835498,0.8085901027077498,0.7585532746823069,0.7780772686433064
6,DoS slowloris,0.7737627651217597,0.9389895138226882,0.830524795377949,0.8484065460809647
7,FTP-Patator,0.7477064220183486,0.6746688741721855,0.6944190301921317,0.7093124456048738
8,PortScan + Infiltration,0.917060212514758,0.7773329997498124,0.7658,0.8414353419092756
9,SSH-Patator + Heartbleed,0.751660026560425,0.8998410174880763,0.8065015479876161,0.8191027496382055
10,WebAttack BF + SQL + XSS,0.7777777777777778,0.9280898876404494,0.8249708284714119,0.8463114754098361
,Average,0.8122605162069642,0.8137161841951072,0.775366880639228,0.8074304943752757
