node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.8156761412575366,0.9722792607802875,0.8762833675564682,0.8871194379391101,0.8167313497197067,0.9722792607802875,0.877053388090349,0.8877431450667916,5.0,2548.0
2,DDoS,0.9831833603776369,0.99975,0.98612,0.9913974762624885,0.9837638376383764,0.99975,0.9866,0.991692498450093,5.0,22776.0
3,DoS GoldenEye,0.8960239268121042,0.9902780478320047,0.9161324087400236,0.9407961577537637,0.8777071158473703,0.9929029749173635,0.9021326704173753,0.9317580512726941,5.0,14046.0
4,DoS Hulk,0.9915054270882492,0.94545,0.94988,0.9679301783931816,0.993025329068121,0.9468,0.95212,0.9693618981801428,5.0,22837.0
5,DoS Slowhttptest,0.8657355679702048,0.8892501912777353,0.872897927258506,0.8773353462917531,0.843126586869786,0.8892501912777353,0.858818928431756,0.865574380934649,5.0,8775.0
6,DoS slowloris,0.7998046875,0.9125348189415042,0.8362060664419836,0.8524590163934426,0.81391505536275,0.914577530176416,0.8472797303803563,0.8613151451556488,5.0,7737.0
7,FTP-Patator,0.91692498450093,0.9974709155285787,0.9495929009239776,0.955503512880562,0.9433047972863835,0.9846568875400439,0.9595645412130638,0.9635373700709454,5.0,6617.0
8,PortScan + Infiltration,0.9571825853471423,0.99815,0.9628,0.9772371255140004,0.9571825853471423,0.99815,0.9628,0.9772371255140004,5.0,22746.0
9,SSH-Patator + Heartbleed,0.820236260914227,0.9888544891640867,0.8860681114551083,0.8966872543514879,0.7977051633823896,0.990092879256966,0.8695046439628483,0.8835474513054289,5.0,5921.0
10,WebAttack BF + SQL + XSS,0.9277511961722488,0.9048063462435838,0.9171721885207653,0.9161351287502953,0.903962703962704,0.9048063462435838,0.9043397106859543,0.9043843283582089,5.0,3611.0
,Average,0.897402413794028,0.9598824069767782,0.9153152970896834,0.9262600634530085,0.8930424524484728,0.9593266070192396,0.9120213613181702,0.9236151394308603,5.0,11761.4
