node,category,raw_P,raw_R,raw_Acc,raw_F1,refined_P,refined_R,refined_Acc,refined_F1,refinement_iterations_run,final_seed_set_size
1,Bot,0.7331812998859749,0.9902464065708418,0.8149383983572895,0.8425420397466695,0.7189128816083395,0.9912731006160165,0.8018480492813141,0.8334052654294346,3.0,3148.0
2,DDoS,0.9368120286664481,1.0,0.94604,0.9673752690512467,0.9310120100549297,1.0,0.94072,0.9642736608649535,3.0,19911.0
3,DoS GoldenEye,0.8963779527559055,0.8300602761034416,0.8210781106895199,0.8619453838776437,0.8786417726713172,0.8326852031888003,0.8100222425749052,0.855046421084157,3.0,12302.0
4,DoS Hulk,0.9934256055363322,0.8613,0.88448,0.9226566684520622,0.9917084125064778,0.86115,0.88316,0.921829421682233,3.0,20018.0
5,DoS Slowhttptest,0.9033621904570163,0.8582631981637338,0.8806218224481814,0.8802354095144679,0.895186953062848,0.8609410864575363,0.8773953852170512,0.8777301092043682,3.0,8027.0
6,DoS slowloris,0.7855380820228184,0.9461467038068709,0.8381319210399615,0.8583944065369388,0.7819214241866176,0.9461467038068709,0.8352431391429948,0.8562305688597597,3.0,8280.0
7,FTP-Patator,0.8208685999722493,0.9974709155285787,0.880523282407831,0.9005936976708784,0.8033677349266702,0.9974709155285787,0.8661604610740097,0.88995863106431,3.0,8826.0
8,PortScan + Infiltration,0.9540279372368925,0.99715,0.95928,0.9751124584392724,0.9540257379323542,0.9971,0.95924,0.975087401902061,3.0,19822.0
9,SSH-Patator + Heartbleed,0.7694890861117774,0.993188854489164,0.8478328173374613,0.8671442086768483,0.7534021586109808,0.9941176470588236,0.8343653250773994,0.8571809930592632,3.0,5211.0
10,WebAttack BF + SQL + XSS,0.9458896982310093,0.8483434437704153,0.8999066728884741,0.8944649446494465,0.9223744292237442,0.8483434437704153,0.8884741017265516,0.8838113757899854,3.0,3403.0
,Average,0.8738972480876424,0.9322169798433046,0.8772833025168719,0.8970464486615473,0.863055351478428,0.9329228100427043,0.8696628704094225,0.8914553848940525,3.0,10894.8
