node,category,P,R,Acc,F1
1,Bot,0.6976744186046512,0.6217616580310881,0.6790757381258024,0.6575342465753424
2,DDoS,0.9215264713786616,0.8566075443417437,0.8268,0.8878819264629726
3,DoS GoldenEye,0.8689090125053902,0.9795819154107924,0.8868171409878967,0.9209323583180987
4,DoS Hulk,0.929275505174963,0.945823927765237,0.8994,0.9374766935985084
5,DoS Slowhttptest,0.7659222497932175,0.904296875,0.8137829912023461,0.8293775190326914
6,DoS slowloris,0.8007575757575758,0.9635369188696444,0.8541165142031777,0.8746379809681423
7,FTP-Patator,0.7987763426240653,0.9932375316990701,0.8609332113449222,0.8854559155990958
8,PortScan + Infiltration,0.9286447638603696,0.9138671381662036,0.8762,0.9211966900063654
9,SSH-Patator + Heartbleed,0.7603092783505154,0.9379968203497615,0.8258513931888545,0.8398576512455516
10,WebAttack BF + SQL + XSS,0.7900763358778626,0.9473684210526315,0.8448074679113186,0.8616024973985432
,Average,0.8261871953927272,0.9064078750686173,0.8367784456964318,0.8615953479205312
