node,category,P,R,Acc,F1
1,client1: DDoS,0.9475970676079283,0.8655753968253969,0.853,0.9047310434219054
2,client2: PortScan,0.9071283095723014,0.5535669898086005,0.5952,0.6875578882371102
3,client3: PortScan,0.9074149938549775,0.5593434343434344,0.6058,0.6920793625995938
4,client4: DoS Hulk,0.9446392785571143,0.9474874371859296,0.914,0.9460612142498745
5,client5: DoS Hulk,0.9505864736710756,0.948220064724919,0.9188,0.9494017946161516
6,client6: DoS Hulk,0.9430730478589421,0.9404672192916352,0.9074,0.9417683310275438
7,client7: DoS Hulk,0.939128256513026,0.9510400811770675,0.9128,0.9450466347365768
8,client8: DDoS,0.9436161561398753,0.8676470588235294,0.8522,0.9040384365666797
9,client9: DDoS,0.9445522594954255,0.8485678704856787,0.8384,0.8939910784570979
10,client10: DoS GoldenEye,0.896551724137931,0.971007371007371,0.9061171082760877,0.9322953526775183
11,client11: FTP-Patator,0.025210084033613446,0.0051325919589392645,0.3618481244281793,0.008528784648187633
12,client12: DoS slowloris,0.7869034406215316,0.6319073083778967,0.7087144920558498,0.7009391992090954
13,client13: DoS Slowhttptest,0.7949389179755671,0.8506069094304388,0.8069403714565004,0.821831303563374
14,client14: SSH-Patator,0.7594553706505295,0.8070739549839229,0.7833850931677019,0.7825409197194076
15,client15: Bot,0.08888888888888889,0.021108179419525065,0.4184852374839538,0.03411513859275053
16,client16: Web Attack - Brute Force,0.8170347003154574,0.8900343642611683,0.8469387755102041,0.8519736842105263
17,client17: Web Attack - XSS,0.7986577181208053,0.9754098360655737,0.8735632183908046,0.8782287822878229
18,client18: Infiltration,0.5,0.2857142857142857,0.5,0.36363636363636365
19,client19: Web Attack - Sql Injection,0.75,1.0,0.875,0.8571428571428571
20,client20: Heartbleed,0.0,0.0,0.25,0.0
,Average,0.7322688344007495,0.6959955176942657,0.7364296210384641,0.7047954084800219
